2000.01	-76.9227	-76.6204	-67.1669	2.48249
2000.02	-76.9351	-76.6056	-67.1374	2.48
2000.03	-76.9466	-76.5904	-67.1078	2.47753
2000.04	-76.9572	-76.5748	-67.0783	2.47505
2000.05	-76.9669	-76.5588	-67.0489	2.47258
2000.06	-76.9757	-76.5425	-67.0194	2.4701
2000.07	-76.9837	-76.5257	-66.99	2.46764
2000.08	-76.9908	-76.5086	-66.9606	2.46517
2000.09	-76.9971	-76.4911	-66.9313	2.46271
2000.1	-77.0027	-76.4733	-66.902	2.46024
2000.11	-77.0074	-76.4551	-66.8727	2.45778
2000.12	-77.0114	-76.4366	-66.8435	2.45533
2000.13	-77.0146	-76.4177	-66.8143	2.45287
2000.14	-77.0171	-76.3985	-66.7851	2.45042
2000.15	-77.0189	-76.379	-66.7559	2.44797
2000.16	-77.0199	-76.3592	-66.7268	2.44553
2000.17	-77.0203	-76.339	-66.6978	2.44308
2000.18	-77.0199	-76.3186	-66.6687	2.44064
2000.19	-77.0189	-76.2978	-66.6397	2.4382
2000.2	-77.0173	-76.2768	-66.6107	2.43576
2000.21	-77.015	-76.2554	-66.5818	2.43333
2000.22	-77.012	-76.2338	-66.5529	2.4309
2000.23	-77.0085	-76.2119	-66.524	2.42847
2000.24	-77.0043	-76.1897	-66.4952	2.42604
2000.25	-76.9996	-76.1673	-66.4663	2.42362
2000.26	-76.9942	-76.1446	-66.4376	2.42119
2000.27	-76.9883	-76.1216	-66.4088	2.41877
2000.28	-76.9818	-76.0984	-66.3801	2.41636
2000.29	-76.9747	-76.0749	-66.3514	2.41394
2000.3	-76.9672	-76.0512	-66.3228	2.41153
2000.31	-76.959	-76.0272	-66.2941	2.40912
2000.32	-76.9504	-76.003	-66.2656	2.40671
2000.33	-76.9412	-75.9786	-66.237	2.4043
2000.34	-76.9315	-75.9539	-66.2085	2.4019
2000.35	-76.9214	-75.9291	-66.18	2.3995
2000.36	-76.9107	-75.904	-66.1515	2.3971
2000.37	-76.8996	-75.8786	-66.1231	2.39471
2000.38	-76.888	-75.8531	-66.0947	2.39231
2000.39	-76.8759	-75.8274	-66.0663	2.38992
2000.4	-76.8634	-75.8014	-66.038	2.38753
2000.41	-76.8505	-75.7753	-66.0097	2.38515
2000.42	-76.8371	-75.749	-65.9814	2.38276
2000.43	-76.8232	-75.7224	-65.9532	2.38038
2000.44	-76.809	-75.6957	-65.925	2.378
2000.45	-76.7943	-75.6688	-65.8968	2.37562
2000.46	-76.7792	-75.6417	-65.8687	2.37325
2000.47	-76.7637	-75.6145	-65.8405	2.37088
2000.48	-76.7479	-75.587	-65.8125	2.36851
2000.49	-76.7316	-75.5594	-65.7844	2.36614
2000.5	-76.715	-75.5317	-65.7564	2.36378
